,用户需求,用户名称,防范客体编码,表达需求编码,空间特征编码,时间特征比那吗,属性特征编码,时间结构编码,几何逻辑编码,空间组织编码,表现形式编码,对象状态编码,表达尺度编码
67,68,何雨薇,3,4,1,3,,,1,2,1,1,1
68,69,曹梦婷,3,9,1,3,1,,1,3,2,1,1
69,70,沈乐天,3,7,1,1,,1,1,1,1,2,1
70,71,范怡然,3,5,1,3,,,2,1,1,1,1
71,72,康庆霞,3,8,1,3,8,,1,1,2,1,1
72,73,汤代曼,3,4,1,3,,,1,2,1,1,1
73,74,赖水云,3,7,1,1,,1,1,2,1,1,1
74,75,于吉玉,3,9,1,3,8,,2,1,1,1,1
75,76,赖欣颖,3,5,1,3,5,,1,1,1,2,1
76,77,韩森莉,3,7,1,1,9,1,1,3,1,1,1
77,78,唐芝兰,3,8,1,1,7,1,1,3,2,1,1
78,79,陆新巧,3,5,1,3,,,1,2,1,1,1
79,80,姚书兰,3,6,1,1,,1,1,2,1,2,1
80,81,侯怀亦,3,8,1,3,5,,1,1,2,1,1
81,82,蒋悠素,3,4,1,3,,,1,2,1,1,1
82,83,方涵意,3,7,1,2,,1,1,2,1,1,1
83,84,顾子平,3,9,1,3,2,,1,1,2,1,1
84,85,杨高卓,3,9,1,3,9,,2,1,2,1,1
85,86,蔡和正,3,6,1,1,,1,1,2,1,2,1
86,87,徐正德,3,5,1,3,,,2,2,1,1,1
87,88,白奇致,3,7,1,2,,1,1,2,1,2,1
88,89,高永望,3,8,1,3,3,,1,1,2,1,1
89,90,孟哲茂,3,8,1,3,6,,1,3,2,1,1
